J-c	J-itc	J-pc	J-poal	J-rh	J-ta	J-taa	J-tamb	J-tap	J-tb	J-te	J-tgb	J-tit	J-to	J-toh	J-tots	J-tr	J-tsf	J-tsop	J-tsotp	J-ttm	J-twotd	J-waw	J-wmk	J-ws	T-acyikac	T-adbds	T-ata	T-cfma	T-cs	T-fteajatw	T-ia	T-lotm	T-proja	T-ri	T-snao	T-tac	T-taohf	T-taots	T-tet	T-tgaatot	T-tms	T-tpatp	T-tsa	T-tsd	T-ttopw
T-tac	55.8249361835248	55.528444162613	52.3100233613314	61.1093761308141	39.8336012402885	42.4666754791196	67.5437853444412	65.601977205324	56.0378907184822	56.9460392608512	52.1079650975957	71.1843719640051	60.7166042485006	64.8254634365896	71.3686984193457	55.8929503433338	60.2478319397853	72.2102929712057	62.7847557681301	61.7150606366269	53.292029939721	70.596238410364	40.7473213173537	67.5853103001388	59.407153821947	17.0645182023063	19.573570258075	17.6303735703313	18.1829402510529	24.4090966686093	21.4494845056475	22.3765555713682	18.8466669503995	17.8777845921505	20.5395571082826	16.7216227613004	0	23.6313653536444	18.898256857316	21.5595022393592	17.408054818505	23.2182380489057	17.1241758594172	20.8836572200865	23.6376614145723	21.1117421409904
T-taohf	71.1298664618216	70.1801967733709	67.5140906391489	76.6545748140159	54.646110055768	57.5372499735838	82.6946781172635	80.7528699781463	71.1887834913044	72.0969320336735	67.3131696477672	86.3352647368274	76.9680394941604	80.4758931375035	86.519591192168	71.043843116156	75.5856853119993	87.361185744028	77.9356485409523	77.1569714006599	68.5752101801047	85.7471311831863	55.3825558715718	82.7362030729611	75.0255435641087	21.6264556786927	22.2529013360424	19.8811891184694	21.299820644727	32.9302965715381	23.7677737233544	22.1910458706871	21.8378138932486	20.1010585360536	20.5308769555189	22.3251888738062	23.6313653536444	0	17.6242315375574	26.2097366079366	24.4757705951599	23.9361882468112	25.8911780989711	12.6780524689668	16.8729802887346	25.881031461559
T-taots	64.1722813243378	63.6254956910187	60.9062150518015	69.7055678212842	47.9802564366761	50.9780256055228	76.3830836961613	74.2430575731996	64.6340824089522	65.5422309513213	60.7041567880657	79.7805636544752	70.0977113702708	74.1712905856456	79.9648901098157	64.4891420338038	68.8440236302553	80.8064846616758	71.3809474586001	71.340762769826	61.8882216301911	79.1924301008341	48.8278547892196	76.1815019906089	68.0033455124171	17.2272392872112	19.172470742728	15.6575208991232	17.7501335668206	31.4357986500268	22.4990218251168	18.7845771891379	17.7666435394259	14.9909153247884	16.7011351687609	20.0451429972551	18.898256857316	17.6242315375574	0	23.4938132104628	17.7607731745389	21.5886552028635	17.6714603207088	18.2651400201711	23.8815036711427	17.1824419727671
T-tet	51.2907848294137	51.2609257931244	48.0839620090496	56.8923553974117	36.6148714900704	39.3198490667534	63.1437012381802	61.2018930990629	53.2640407230298	53.1848392537732	47.9527309765723	66.784287857744	57.2617782873395	60.2067685397105	66.9686143130846	52.1795677420848	56.1057153027293	67.894040774314	58.384671661869	57.5089219823105	49.2071390832147	66.196154304103	36.9274353086082	63.3302634579731	55.0070697156859	21.6873146941884	20.0150733775868	19.8541311100178	16.4251640593891	25.848079782094	22.6751527891669	21.7789740451273	18.4052753619324	21.9430015051495	20.5098446801442	16.5910195709558	21.5595022393592	26.2097366079366	23.4938132104628	0	15.8716874669673	24.0318117421768	23.7453135007998	24.375485730345	19.8214778216163	16.8670082124316
T-tgaatot	49.9101633248359	49.3042181000714	46.5849374608542	55.3842902303369	33.9017005597373	36.6567480145755	61.818699443964	59.8869148226833	50.3916505189468	51.220953360374	46.3828791971184	65.4592860635279	55.0740756614432	58.8817667454943	65.6436125188685	50.2972869121469	54.522746039308	66.4852070707285	57.0596698676529	55.9899747361497	47.5669440392438	64.8711525098868	35.1612344382669	62.0641679212318	53.6820679214698	19.9639026280123	18.1628424258147	17.5000263094714	14.1966600663021	23.3653598017795	20.2287385237361	17.4899665650353	15.3053821102892	18.197627764768	16.1195719268431	14.3011625092814	17.408054818505	24.4757705951599	17.7607731745389	15.8716874669673	0	23.1643154123799	20.1345152458556	22.3125378933037	21.9496902263478	15.8851534997322
T-tms	62.0292605853724	61.9225671195206	58.6284600158162	67.0345754540399	46.5708770027602	48.5474017592223	73.8286727803287	71.723914751265	62.005383866085	62.9424697116074	58.1338572176163	77.9279231411726	68.0624044447382	70.5320519691973	77.2938977425714	61.9130462219819	66.9389760919372	78.1662171562912	68.7099550913558	69.4107688683715	59.9524960973643	76.6454247365203	46.4772668304074	73.7020262285624	65.6030769540343	20.6595386445065	24.0832895050837	23.5946845930794	18.5007862734441	35.0248111258587	24.2773574667609	25.9267566070793	21.2678530827947	18.4425681893026	21.815490528184	24.7037625788733	23.2182380489057	23.9361882468112	21.5886552028635	24.0318117421768	23.1643154123799	0	24.986263623536	21.5895807710349	21.331933291428	22.3334321764797
T-tpatp	63.8352460836015	63.1345977522296	60.3250113900791	69.1243641595618	48.3581989354775	50.3968219438004	75.5587733731889	73.6169652340716	64.0528787472299	64.9610272895989	60.1229531263433	79.1993599927528	68.7315922772483	72.6218406747192	79.3836864480934	63.9079383720814	68.262819968533	80.2252809999534	70.7997437968778	69.7300486653746	61.3070179684687	78.6112264391117	48.6596908954672	75.6002983288865	67.4221418506947	16.6186718297382	22.8515040087273	21.683888737005	19.9406681217244	26.7936835827402	22.1047313019663	19.9348108702067	19.1970599213764	18.6816124288567	16.8914732700313	20.4827154710234	17.1241758594172	25.8911780989711	17.6714603207088	23.7453135007998	20.1345152458556	24.986263623536	0	22.5804944870033	23.4519247094951	20.9723517822048
T-tsa	68.4059386257101	68.133335822207	65.1398723531738	73.9392251226566	52.2139137380485	55.4205816352793	80.3736343362836	78.4318261971664	68.8677397103245	69.7758882526936	64.937814089438	84.0142209558475	74.1940366815087	77.5357275484725	84.1985474111881	68.8307942107151	73.0776809316277	85.0401419630481	75.6146047599725	74.5449096284693	66.1218789315634	83.4260874022064	53.0615120905919	80.4151592919812	72.2370028137894	18.7642914279432	18.6072532545653	19.9626257168796	21.2865772648567	30.8030613807347	21.2360865788513	21.8344007698681	20.6759489807117	21.4207565599174	17.6012922257911	19.8303784889829	20.8836572200865	12.6780524689668	18.2651400201711	24.375485730345	22.3125378933037	21.5895807710349	22.5804944870033	0	17.4276383063852	23.4232306885543
T-tsd	62.7835593746669	63.020532700291	59.5174931021306	68.3168458716134	47.1619833147681	50.1479621646347	74.7512550852404	72.8094469461232	63.375119614084	64.1535090016504	59.3154348383949	78.3918417048043	67.9861399053181	71.8143223867708	78.5761681601449	63.3110589696468	67.4553016805845	79.4177627120049	69.9922255089293	69.3345043289513	60.4994996805203	77.8037081511632	47.4391328395487	74.792780040938	66.6146235627462	19.1956069311241	19.7504659034986	22.6801694071659	19.8533134429516	27.8068126387797	24.1837824699958	21.0283149040861	21.3276791022739	21.6041756221355	19.2716749174265	18.979467061928	23.6376614145723	16.8729802887346	23.8815036711427	19.8214778216163	21.9496902263478	21.331933291428	23.4519247094951	17.4276383063852	0	21.7807243268605
T-ttopw	52.8516877997589	52.3049021664398	49.5856215272227	58.3849742967054	36.6596629120973	39.6574320809439	64.8491917995184	62.8775753712152	53.6830003671462	54.2216374267425	49.600752687362	68.4599701298964	58.5784492400693	62.6373986890027	68.644296585237	53.3940863830141	57.5234301056765	69.485891137097	60.0603539340213	60.0123100500501	50.5676281056123	67.8718365762553	38.0499172526879	64.8609084660301	56.6827519878383	18.7204351989178	19.618760129224	19.3418945275853	13.281995520883	25.3135243968831	23.9581167587279	20.1937757953358	18.747793756446	17.0124815801374	17.6429626385976	14.7318920402995	21.1117421409904	25.881031461559	17.1824419727671	16.8670082124316	15.8851534997322	22.3334321764797	20.9723517822048	23.4232306885543	21.7807243268605	0
