J-c	J-itc	J-pc	J-poal	J-rh	J-ta	J-taa	J-tamb	J-tap	J-tb	J-te	J-tgb	J-tit	J-to	J-toh	J-tots	J-tr	J-tsf	J-tsop	J-tsotp	J-ttm	J-twotd	J-waw	J-wmk	J-ws	T-acyikac	T-adbds	T-ata	T-cfma	T-cs	T-fteajatw	T-ia	T-lotm	T-proja	T-ri	T-snao	T-tac	T-taohf	T-taots	T-tet	T-tgaatot	T-tms	T-tpatp	T-tsa	T-tsd	T-ttopw
J-te	15.2880748431375	22.7959866796807	14.1027110239867	15.1634838959672	17.0586808982622	15.2239310073577	24.0951815097085	23.671299631453	17.9839917632106	15.7093314408823	0	25.8369583717001	29.8313877686584	25.3155945249477	24.0936679516157	19.5224719892698	15.9485699510526	26.320460279614	16.454696804048	26.2232515643417	16.6384674781013	25.0405770821943	21.2004724871554	22.4061279972539	14.8332136397205	60.2862335290452	55.3477185365866	60.6256731558434	54.280581806275	47.9488961826469	61.9603801844364	61.4207066396643	58.2219494205403	59.2909863071657	59.9440001969364	51.9834809610806	52.1079650975957	67.3131696477672	60.7041567880657	47.9527309765723	46.3828791971184	58.1338572176163	60.1229531263433	64.937814089438	59.3154348383949	49.600752687362
J-tgb	22.0152211438491	20.6099353868067	23.209924396041	19.8730271163842	34.3108283578175	31.692875984917	17.9478842154239	12.868748543956	25.620910440375	20.1203631997618	25.8369583717001	0	20.4404115584838	17.8409217897354	18.9228104175152	22.2191358674307	18.4627743983587	14.7323562890346	16.9407710172198	15.7848480971629	21.4057782442027	10.445876885417	34.2479544797621	14.3234626586467	21.3397844306563	79.3626403954547	74.4241254029961	79.7020800222529	73.3569886726845	65.2468204058772	81.0367870508459	80.4971135060738	77.2983562869498	78.3673931735752	79.0320090754003	71.2149273191356	71.1843719640051	86.3352647368274	79.7805636544752	66.784287857744	65.4592860635279	77.9279231411726	79.1993599927528	84.0142209558475	78.3918417048043	68.4599701298964
J-tit	25.5123624418503	27.2480236657889	22.950741257339	25.94888833532	32.7758235159453	29.7242006654779	23.042709646414	17.7845623360685	29.4906875661977	23.4545171351411	29.8313877686584	20.4404115584838	0	18.0982300464091	27.8389210634262	24.8216915634156	25.8408916429999	22.0662636694692	23.5043203931434	14.2274986701319	22.3442283955811	19.2285657209538	31.4170947638662	22.6001731974279	26.1686097167253	69.4714243176158	64.3560348238012	69.2343123067483	62.88922095718	55.4729632455235	70.5690193353414	70.3746454090093	66.8305885714452	67.8996254580707	69.166490378966	61.3748411158388	60.7166042485006	76.9680394941604	70.0977113702708	57.2617782873395	55.0740756614432	68.0624044447382	68.7315922772483	74.1940366815087	67.9861399053181	58.5784492400693
J-to	20.6135098455346	23.4133640422156	22.0798523607654	20.3387317248346	30.98589754468	28.0503191882516	16.1666443561023	15.9322440382646	26.2072288980362	21.4314834572197	25.3155945249477	17.8409217897354	18.0982300464091	0	18.7944096209713	22.3288916440107	22.3951331970999	17.6661566984829	18.6507396167277	16.1925056219906	19.871939928189	18.4539345221753	30.2341897639428	21.1391990393617	21.0560665871135	72.7851210774212	67.8466060849626	73.1245607042193	66.7794693546509	58.7875632174885	74.4592677328123	73.9195941880403	70.7208369689162	71.7898738555416	72.4428877453124	64.4823685094565	64.8254634365896	80.4758931375035	74.1712905856456	60.2067685397105	58.8817667454943	70.5320519691973	72.6218406747192	77.5357275484725	71.8143223867708	62.6373986890027
J-toh	20.4390501434645	28.5189680446508	24.2355248785417	17.3987666142548	32.3493480977692	31.5097143067654	16.9927419301437	16.8775287588622	25.62236973044	20.715911863676	24.0936679516157	18.9228104175152	27.8389210634262	18.7944096209713	0	25.7399144231996	20.5117268841584	17.2708091261201	17.1149050982419	22.3140273287621	22.0790173540982	17.2385644021064	32.2556943169522	17.5877899436608	18.3554061935253	79.5469668507952	74.6084518583367	79.8864064775934	73.541315128025	65.7698884322138	81.2211135061865	80.6814399614144	77.4826827422903	78.5517196289157	79.2047335186865	71.2442142828307	71.3686984193457	86.519591192168	79.9648901098157	66.9686143130846	65.6436125188685	77.2938977425714	79.3836864480934	84.1985474111881	78.5761681601449	68.644296585237
J-tots	18.3069984172069	19.0240252631858	16.6715691131771	19.194524950679	24.4845328874245	20.0136432029403	26.0023768515329	19.7000346216626	22.0039892172387	16.3709991461251	19.5224719892698	22.2191358674307	24.8216915634156	22.3288916440107	25.7399144231996	0	23.3431567102091	23.3889918028747	17.3759513338457	24.1015188268172	17.9885945201592	22.6563316277901	25.4999188032561	19.9856610267658	20.0842902990413	64.0712187747833	59.1327037823248	64.606359399025	58.5509892378222	54.1345531435601	65.7453654301745	65.2056918854025	62.0069346662784	63.0759715529038	63.7784999875557	56.1174662023711	55.8929503433338	71.043843116156	64.4891420338038	52.1795677420848	50.2972869121469	61.9130462219819	63.9079383720814	68.8307942107151	63.3110589696468	53.3940863830141
J-tr	15.068283093264	22.8708980459843	15.2969888354041	14.5214641246232	25.1122651128405	21.7802523849945	20.2749454209021	18.4860355088931	19.4507743232487	12.5654747904279	15.9485699510526	18.4627743983587	25.8408916429999	22.3951331970999	20.5117268841584	23.3431567102091	0	22.2931048655136	15.7723186980726	21.8233824380069	12.1063598611727	18.6663524215311	26.6182813880336	16.6692407205937	16.2553426128553	68.4261003712348	63.4875853787762	68.765539998033	62.6081800392405	54.797597847349	70.100247026626	69.560573481854	66.3618162627299	67.4308531493553	68.0838670391261	60.1233478032702	60.2478319397853	75.5856853119993	68.8440236302553	56.1057153027293	54.522746039308	66.9389760919372	68.262819968533	73.0776809316277	67.4553016805845	57.5234301056765
J-tsf	21.7090102819767	25.7711162771745	26.2033272278874	20.2519821756788	36.1153279450903	32.6683674444233	17.9855901753171	15.547981758623	25.3044720139695	21.8029937468454	26.320460279614	14.7323562890346	22.0662636694692	17.6661566984829	17.2708091261201	23.3889918028747	22.2931048655136	0	19.491644291873	19.8044889844231	24.2045191201736	12.5683621311194	36.5116582209804	17.0973011588632	21.5250120089444	80.3885614026553	75.4500464101967	80.7280010294535	74.3829096798851	66.805757421787	82.0627080580465	81.5230345132745	78.3242772941504	79.3933141807758	80.0463280705466	72.0858088346907	72.2102929712057	87.361185744028	80.8064846616758	67.894040774314	66.4852070707285	78.1662171562912	80.2252809999534	85.0401419630481	79.4177627120049	69.485891137097
J-tsop	15.6217867220833	20.7346474526516	13.651185319995	13.12868769017	24.3812476627484	22.201370930329	19.1169532091129	14.1687378426418	20.744897216099	11.0666495728832	16.454696804048	16.9407710172198	23.5043203931434	18.6507396167277	17.1149050982419	17.3759513338457	15.7723186980726	19.491644291873	0	20.0389767762141	14.1036447056374	17.4875105595675	26.1173450923056	14.6943820527605	14.9352575706793	70.9630241995796	66.024509207121	71.3024638263778	64.9573724768094	57.5671773846212	72.6371708549708	72.0974973101987	68.8987400910747	69.9677769777001	70.6207908674709	62.660271631615	62.7847557681301	77.9356485409523	71.3809474586001	58.384671661869	57.0596698676529	68.7099550913558	70.7997437968778	75.6146047599725	69.9922255089293	60.0603539340213
J-tsotp	22.0433152135092	23.3707295534391	20.0521586244895	22.6242589639839	31.112502234121	27.1742920272379	19.570040767266	15.2504100363382	25.6527487156028	19.808253993477	26.2232515643417	15.7848480971629	14.2274986701319	16.1925056219906	22.3140273287621	24.1015188268172	21.8233824380069	19.8044889844231	20.0389767762141	0	18.5788952847447	16.0561719995092	31.3196763145678	20.402021664395	22.639917279812	70.819788741249	65.7972410057705	70.2327686948746	64.1513615994126	55.777509078499	71.5674757234677	71.702704883363	67.8290449595715	68.898081846197	70.5148548025992	62.6977730463345	61.7150606366269	77.1569714006599	71.340762769826	57.5089219823105	55.9899747361497	69.4107688683715	69.7300486653746	74.5449096284693	69.3345043289513	60.0123100500501
