DC1423.D1023	DC1423.D1400	DC1423.D19337	DC1423.D40723	DC1423.D564	DC1423.D580	DC1423.D588	DC1423.D650	DC1423.D675	DC1423.D699	DC1423.D700	DC1423.D730	DC1423.D766	DC1423.D821	DC1423.D872	DC1423.D882	DC1423.D883	DC1423.D914	DC1423.D916	DC1423.D917	DC1423.D963	DC1423.D967	DC1423.D968	DC1423.D98	DC1423.Dal2324	DC1423.Dal28198	DC1423.DC1423	DC1423.C1438	DC1423.C155	DC1423.C1586	DC1423.C1587	DC1423.C1588	DC1423.C1621	DC1423.C1622	DC1423.C1623	DC1423.C1624	DC1423.C1626	DC1423.C1627	DC1423.C1628	DC1423.C1629	DC1423.C1630	DC1423.C170	DC1423.C1895	DC1423.C1917	DC1423.C1975	DC1423.C28367	DC1423.C3606	DC1423.C3632	DC1423.C3633	DC1423.C4605	DC1423.C583	DC1423.C7891	DC1423.C7893	DC1423.C7894
D963	29.3779333341938	30.5866104302845	40.7501150582978	43.0462930643776	33.4714268114914	38.8703830249299	34.892303365677	49.4482238438654	33.7390030088813	50.0169196225476	29.3958000667411	32.0493649678171	28.3673941357832	26.9957128909476	39.5366498326923	38.084703095965	26.7382569455227	41.7025872210858	42.9137952197801	33.7361947404649	0	31.4586818291155	26.9309368762726	36.0688883125112	50.7147561951189	40.0313962981944	57.2204511479498	113.756985674561	102.167570930966	109.434539353853	109.199273755186	80.4584367419061	93.2637115722683	111.850030442733	109.019155733737	110.307930996609	82.6794751040779	108.599553992702	102.985546274187	111.459867548862	110.428002584911	103.171139457183	108.322226487717	93.2857330440645	107.757205089416	63.2821250751452	77.702309162501	111.826641359098	104.604689111789	88.5343873932982	109.363693501334	99.2052150575744	76.1585499447211	99.1832317222307
D967	39.2860097113554	35.5963094677228	45.6168125081985	36.2490993918416	37.5439625493764	35.7605305914195	36.0861928103492	46.5854264223747	34.2371049347681	51.7783529573421	27.937205383457	31.0363523452105	33.4344865732417	25.7980777609965	43.969714095072	37.1772011711132	34.2271383841595	46.6926389004647	44.9627680123942	30.9976391387918	31.4586818291155	0	27.3232889842796	36.2080503763684	54.6645025682168	40.1435918130357	61.2865686818546	116.484352083838	106.515320399002	112.224027617828	111.926640164463	83.1687097514723	96.788344838744	114.57739685201	111.746522143014	113.129270435275	86.1849997687699	111.326920401979	105.62382014046	114.187233958139	113.155368994188	106.754511330272	111.049592896995	95.792717161554	110.484571498693	65.5980461609852	80.2970490832492	114.554007768375	107.332055521066	91.0140605143088	112.091059910612	100.592983374101	78.9548793764241	101.910598131508
D968	30.4125680318707	31.7236101583911	44.1117918243669	38.2948234766826	36.7695298993536	42.0995432610251	35.2339099715762	45.8989783859943	34.0806353965894	53.0385792670226	27.6823741611515	31.4268973079413	27.0407151240217	23.109125296338	41.1965894725963	38.6607549683405	29.2025219662407	48.1216655364391	45.7118273581536	28.3418327466363	26.9309368762726	27.3232889842796	0	36.1851661197299	53.7588404726835	37.9042536070195	61.0381107666753	119.35911682147	106.891139849052	115.173869506036	114.801404902094	84.3105926658959	100.830440213368	117.452161589641	114.892930304903	116.507007856845	88.0997927992243	114.201685139611	109.037957951509	117.061998695771	116.030133731819	108.773270604092	113.924357634626	99.4852032934041	113.359336236324	70.1551127318932	86.3235601476435	117.428772506007	110.206820258698	94.8038721282973	114.965824648243	104.897551358992	80.5059776633994	104.859138704275
D98	38.7661750655304	32.0925480745852	42.7061012005165	44.4453668591312	39.3837892542367	43.7709413010115	38.2322642383964	47.6921367052497	38.5287142284553	49.6974977764352	36.7012451729304	38.6103611949001	38.0762203617025	35.2147987544151	40.3360393939782	46.4850057885131	38.0369347403768	42.4536168028335	50.1881726185973	39.1198879934572	36.0688883125112	36.2080503763684	36.1851661197299	0	47.1195890787899	40.2920677172001	57.4044023211861	109.487707734795	99.9334368562761	105.610766253909	104.877276363997	76.8864008225229	91.2741294522812	107.528033051544	104.697158342548	105.985933605421	78.3885774124689	104.530515247777	99.024804660555	107.694559025064	106.106005193722	98.8491420659944	104.000229096528	88.8764115854648	103.982833688823	63.5135931532995	80.1874385989658	107.504643967909	100.2826917206	85.578417876695	105.041696110146	95.7009309934563	73.5624652177013	94.8612343310418
Dal2324	53.5097339158585	51.1590327993445	53.3811361948764	57.2823314287896	55.3658607003737	64.3325701765097	52.6089029653935	65.0645458123105	57.89234198343	66.5299997053249	58.7625346174522	52.7415017886198	52.10464588892	57.3293269948285	56.5236013922354	56.5003677861937	50.7314298308791	61.0887936358446	60.5147538796425	58.894426600612	50.7147561951189	54.6645025682168	53.7588404726835	47.1195890787899	0	51.7404398427328	46.6919429246497	81.5556686413912	75.5439848733071	80.1815754283618	79.228945294699	56.3033566583871	64.3611627769169	80.1202001895137	76.5022181541161	80.9082843389931	55.1843570974745	78.2657305325695	74.4740361165883	84.282573538106	80.1565572651353	73.886804233434	77.5009483128773	64.5690502536436	76.3372175192299	53.2423862398191	66.2138006088822	80.2304062753427	72.8124550652889	59.3083311379703	76.0799557363081	71.5371755708271	54.9498720229557	69.241389612154
Dal28198	43.6523079999509	38.4846824332138	42.3377018611955	47.7412098757531	46.2547748065288	49.0610887262796	39.9758495573371	52.1657786676008	48.1103894365555	57.0594784026282	38.7157383069999	41.0126635241478	45.3025151827436	39.0196966912605	48.4293193218003	46.2607135888037	39.6187080870024	51.844029034237	55.0608573217593	35.3567322124459	40.0313962981944	40.1435918130357	37.9042536070195	40.2920677172001	51.7404398427328	0	65.6832682557665	117.640573293221	107.122578720342	112.828644945753	112.904076362721	83.3854088320398	96.1643404620752	115.020586670211	112.644575359148	114.654060553892	85.8689166033656	112.106433609453	108.071714502453	114.932886412877	113.600786923086	106.706338798249	111.654931778775	96.2359069797551	111.106741215591	65.7344184314836	82.2813794190811	114.997197586576	107.775245339267	92.2996918979319	112.534249728813	99.7802249944436	79.4425201576057	102.353787949709
DC1423	65.7020195699348	62.6741876671794	64.6378460120182	57.3394804718922	59.6255697053864	69.8970141059524	61.878657075891	78.9110511518858	65.2378898884798	74.1213407167288	66.9562782196664	59.4434093928397	61.3471434367541	65.7371614334517	68.2335017100535	70.6128286875672	63.5024337116896	71.7646789903799	64.3733983312522	70.4536260424982	57.2204511479498	61.2865686818546	61.0381107666753	57.4044023211861	46.6919429246497	65.6832682557665	0	66.1760543838702	55.4790752557502	63.0030395203602	61.0038376600306	43.2910981939432	52.7495921970386	61.3199990754716	61.0539788873459	64.7663053403472	45.7570499622237	59.7879971538928	56.5430675218785	63.9446189275124	60.1891605395297	59.0450619571616	62.4976635103054	49.4523492899323	59.9754126015404	54.5812132372003	68.0136260409384	62.3475749195304	57.5383092290921	51.7012697484884	61.6920848905316	58.1132344873594	47.7535478764501	54.9100772495728
C1438	120.246093525722	117.748992106802	116.759582294363	107.240021771006	115.372454923619	119.746906178842	114.475532879565	134.515805137813	123.034238472939	117.204244772322	125.8925925458	109.933863998616	117.930821420474	125.888424694224	118.662660762204	118.566553368151	120.211678364707	124.353829607422	118.099405732545	127.790047267157	113.756985674561	116.484352083838	119.35911682147	109.487707734795	81.5556686413912	117.640573293221	66.1760543838702	0	36.8153715850103	25.2325864574692	29.1547597978071	51.165535719843	41.4118737849583	28.4568984095244	32.5919027451881	36.366211487617	39.3444047226854	28.0118061175558	34.1599231826009	31.955934646743	31.2233586792728	33.0327759511165	24.1343575520662	37.3721350901297	35.5092369377867	69.8956448733334	67.7585410391262	27.3776408122503	30.01235711037	40.4848289226864	25.0968031300017	57.1254325818737	48.6063903635698	31.4110571793689
C155	109.04495761762	105.109886939475	107.44966282448	98.9921480650213	102.48394870027	107.587202094098	102.747341663728	122.876010871235	110.978357698609	104.367009414008	114.605475965425	100.806827820173	105.646223984756	113.420447721806	106.194683789786	108.840984554361	108.461595136262	112.753821042762	106.875718004983	116.732706837414	102.167570930966	106.515320399002	106.891139849052	99.9334368562761	75.5439848733071	107.122578720342	55.4790752557502	36.8153715850103	0	32.4936122332883	34.335683222442	41.1355379347015	40.0038255200644	28.5524163480675	39.5557124547227	39.2142215061123	39.2777538679648	35.1593583989751	39.4303788018843	38.4190198643934	31.501856163849	32.9040853149213	31.2673108721373	30.9104930397822	29.0938482602106	62.1857915227075	69.9986075263471	30.7522576988069	31.6651744123196	43.0994607132867	31.0076597783118	49.4553675697331	46.9823525844696	34.5700562571211
C1586	115.910014172056	113.130413615185	112.598148520668	104.323569022784	110.277031162593	115.891505724865	110.579344040376	129.223729592978	118.71179215223	111.186929399631	121.570146225091	106.143995023808	113.608375099765	121.565978373515	114.340214441496	114.492194144927	116.077927219079	120.383068929653	112.797508390438	123.286815905028	109.434539353853	112.224027617828	115.173869506036	105.610766253909	80.1815754283618	112.828644945753	63.0030395203602	25.2325864574692	32.4936122332883	0	33.2489918307518	48.8150371966473	38.958113751493	30.038574698044	33.3089965722779	36.2009558019031	42.8987266496215	27.6273533034214	35.9504009911245	31.7274012406804	30.4498676111176	35.5104533447571	25.1848952341462	36.4473177932566	37.0812804822278	71.2990227039572	73.8914451612455	26.360611952324	31.5174549696469	42.6621027152379	28.9133888063611	55.2041871073081	49.1484189360491	30.8091096569361
